model,rmse,rmse_std,n_estimators,learning_rate,num_leaves,min_data_in_leaf,feature_fraction,bagging_fraction,bagging_freq,lambda_l1,lambda_l2,rank_test_score,timestamp,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma,depth,l2_leaf_reg,bagging_temperature,random_strength,iterations
CatBoost,1100.246349760479,33.417122851582974,,0.035685245208823935,,,,,,,,1.0,2025-08-16T12:50:27,,,,,,,,5.0,5.433021076202333,0.4497846488213225,0.38924502364153013,1518.0
CatBoost,1100.2728887971602,32.052986468734225,,0.038454937960163735,,,,,,,,2.0,2025-08-16T12:50:27,,,,,,,,5.0,2.1180721724815563,0.9573228878945872,1.1460828578616986,1265.0
CatBoost,1101.3121483702218,34.05140679543976,,0.024237362592828687,,,,,,,,3.0,2025-08-16T12:50:27,,,,,,,,5.0,4.728668913656161,0.2024805601652374,1.9161469602387604,2400.0
LightGBM,1101.5267649417551,34.69397133575413,1219.0,0.026177450149998723,126.0,148.0,0.695824756266789,0.6579579488364892,1.0,0.7885203632884806,0.2904663258138005,1.0,2025-08-15T19:31:27,,,,,,,,,,,,
CatBoost,1102.1533873789133,35.3663425079698,,0.04791746462752172,,,,,,,,4.0,2025-08-16T12:50:27,,,,,,,,4.0,2.1040131489281957,0.1737525956622945,1.3114473451233126,1421.0
CatBoost,1103.0960826952387,32.829670787022714,,0.03456637017912877,,,,,,,,5.0,2025-08-16T12:50:27,,,,,,,,6.0,4.075064840194333,0.774633780637788,1.2878085070822614,1377.0
CatBoost,1103.5271086005353,31.47720674097037,,0.025248275105596338,,,,,,,,6.0,2025-08-16T12:50:27,,,,,,,,6.0,1.5540398108990352,0.5985315756843657,0.19002339798460932,1487.0
LightGBM,1103.6444515425665,34.671653933241515,1399.0,0.026092223724727633,117.0,162.0,0.7502331810559776,0.6375927759363476,2.0,0.5376209082361595,0.3937832009696783,2.0,2025-08-15T19:31:27,,,,,,,,,,,,
CatBoost,1104.4985955151712,32.78661102812517,,0.04276338178096126,,,,,,,,7.0,2025-08-16T12:50:27,,,,,,,,5.0,4.094740965038607,0.32350039491147375,1.668606731909535,1492.0
CatBoost,1108.2096127573357,31.97385258980758,,0.029595847323116233,,,,,,,,8.0,2025-08-16T12:50:27,,,,,,,,7.0,4.883618152358464,0.12203505212439503,1.1885815011235494,1542.0
CatBoost,1108.6220538568898,29.071378586936063,,0.026270945514322852,,,,,,,,9.0,2025-08-16T12:50:27,,,,,,,,8.0,3.093966595370807,0.26015779096205116,1.4616419299614596,1313.0
LightGBM,1109.2667985155736,34.994861710424495,1172.0,0.021362437372090287,122.0,145.0,0.6225213102727349,0.6475271665072287,0.0,0.6582322815013546,0.8930539883319575,3.0,2025-08-15T19:31:27,,,,,,,,,,,,
CatBoost,1109.6480665421736,36.27736505318096,,0.03906898012032243,,,,,,,,10.0,2025-08-16T12:50:27,,,,,,,,4.0,4.051125747388206,0.13535408227768553,1.5027501720580914,2687.0
CatBoost,1109.7552214269592,34.67778539459039,,0.03295324575757572,,,,,,,,11.0,2025-08-16T12:50:27,,,,,,,,5.0,4.4264900805793665,0.0918708877100447,1.930259484253993,2486.0
CatBoost,1109.973006241143,32.395132006648915,,0.06698308378133952,,,,,,,,12.0,2025-08-16T12:50:27,,,,,,,,5.0,3.0631092042431187,0.6956181464968069,0.006436527208557363,1037.0
LightGBM,1110.025116666821,36.178085212851116,1064.0,0.021876368808943274,39.0,107.0,0.7579526072702278,0.7173952698872152,2.0,0.6523691427638674,0.8482288126171406,4.0,2025-08-15T19:31:27,,,,,,,,,,,,
CatBoost,1110.2840035644344,36.62273390462783,,0.05545337329729043,,,,,,,,13.0,2025-08-16T12:50:27,,,,,,,,4.0,4.846115739190668,0.6246635688542638,0.7638792793057918,1945.0
CatBoost,1113.0620737517297,31.55898773875447,,0.0252095039425783,,,,,,,,14.0,2025-08-16T12:50:27,,,,,,,,7.0,4.165756877970112,0.951403342206657,1.2032236402926624,2141.0
CatBoost,1114.0129927695102,33.661199813483094,,0.044484276155467864,,,,,,,,15.0,2025-08-16T12:50:27,,,,,,,,5.0,3.7754247465114315,0.7330712960296748,1.231970900520358,1922.0
CatBoost,1114.0397593834464,33.063868917426994,,0.0641971436608218,,,,,,,,16.0,2025-08-16T12:50:27,,,,,,,,5.0,3.2430531547727126,0.722070938202737,1.772391560930149,1226.0
CatBoost,1115.7312826228108,33.470814530744036,,0.03605644835353865,,,,,,,,17.0,2025-08-16T12:50:27,,,,,,,,5.0,3.0929031081196765,0.7903377358601481,1.1642964595599445,2494.0
CatBoost,1117.2538317513663,32.63519401840985,,0.06264614824228873,,,,,,,,18.0,2025-08-16T12:50:27,,,,,,,,5.0,4.918958922426986,0.5542265141320166,0.010459227085825473,1601.0
CatBoost,1117.425148768624,33.64272466989424,,0.03160117395760635,,,,,,,,19.0,2025-08-16T12:50:27,,,,,,,,5.0,3.2518546812909257,0.7561633288952461,0.6951430484779642,2931.0
CatBoost,1119.3613133182234,31.85853937498312,,0.052976724265776334,,,,,,,,20.0,2025-08-16T12:50:27,,,,,,,,7.0,5.113071592568392,0.42373825364876283,1.335099798582941,1145.0
LightGBM,1121.364665083449,34.86988982970025,1089.0,0.06659220607878466,90.0,197.0,0.7063751699856956,0.7441380380821073,2.0,0.5585293712157962,0.6433156396129445,5.0,2025-08-15T19:31:27,,,,,,,,,,,,
LightGBM,1121.9559580117514,32.94576679384435,1400.0,0.03608182741407689,77.0,170.0,0.9020549022694476,0.8481238205413859,1.0,0.6440357340154895,1.0837812704119514,6.0,2025-08-15T19:31:27,,,,,,,,,,,,
CatBoost,1123.908272109494,33.99240914591826,,0.07138395379107378,,,,,,,,21.0,2025-08-16T12:50:27,,,,,,,,5.0,4.587988828290881,0.6924361513243696,1.9825119874043766,1699.0
CatBoost,1124.3646357780967,34.64607622574036,,0.11133458444517896,,,,,,,,22.0,2025-08-16T12:50:27,,,,,,,,4.0,1.800358174772865,0.4615574744197899,0.018663239654186592,1128.0
CatBoost,1125.1019717445754,34.80774389238748,,0.07208232394086503,,,,,,,,23.0,2025-08-16T12:50:27,,,,,,,,4.0,1.4430021483980862,0.22061195271121126,1.1964505881274776,1762.0
CatBoost,1125.4713579499191,33.01798895916054,,0.0454106420798574,,,,,,,,24.0,2025-08-16T12:50:27,,,,,,,,5.0,3.4230079350943234,0.754253544343863,1.2389955028151753,2486.0
CatBoost,1125.818820199706,31.614323993198926,,0.032170499413905984,,,,,,,,25.0,2025-08-16T12:50:27,,,,,,,,6.0,3.4293587959316283,0.25677656772050794,0.5697458039238457,2562.0
CatBoost,1125.9356807048828,28.446131506852527,,0.05356442461657751,,,,,,,,26.0,2025-08-16T12:50:27,,,,,,,,7.0,5.711935095511166,0.8733366617238478,0.3235284227042192,1405.0
XGBoost,1126.7624503299353,30.39757118570236,,0.02901653380829705,,,,,,,,1.0,2025-08-16T07:57:59,3.0,3.0639677530337615,0.8819702198755812,0.8393144233072618,0.36774521020890494,0.0911200924435465,0.07776534407895708,,,,,
LightGBM,1126.797735951816,33.1167632198002,1050.0,0.052967815643109054,34.0,132.0,0.9027996528688915,0.6187585871164879,2.0,0.09084607375970322,0.8058878347113595,7.0,2025-08-15T19:31:27,,,,,,,,,,,,
