model,rmse,rmse_std,n_estimators,learning_rate,num_leaves,min_data_in_leaf,feature_fraction,bagging_fraction,bagging_freq,lambda_l1,lambda_l2,rank_test_score,timestamp,depth,l2_leaf_reg,bagging_temperature,random_strength,iterations
CatBoost,1092.319936234099,32.32969301700849,,0.0261914967990452,,,,,,,,1.0,2025-08-17T15:20:08,5.0,4.349587322750196,0.044165437710100175,1.176527513939862,1400.0
CatBoost,1097.969588877763,33.70190619283441,,0.029935840151015178,,,,,,,,2.0,2025-08-17T15:20:08,4.0,4.015760547331941,0.24534910968132095,0.7785912280839531,2319.0
CatBoost,1099.1598726209384,33.50633871047145,,0.029628049479397067,,,,,,,,3.0,2025-08-17T15:20:08,4.0,3.6225569478512734,0.4103968269896615,1.9647572338172128,2246.0
CatBoost,1100.1887383298167,34.64698884580687,,0.0367227288887389,,,,,,,,4.0,2025-08-17T15:20:08,4.0,5.174651183996495,0.9844021807035521,1.0513803646053717,2132.0
LightGBM,1101.5267649417551,34.69397133575413,1219.0,0.026177450149998723,126.0,148.0,0.695824756266789,0.6579579488364892,1.0,0.7885203632884806,0.2904663258138005,1.0,2025-08-17T14:36:01,,,,,
CatBoost,1102.0451386408984,30.72571198505545,,0.021319499439017658,,,,,,,,5.0,2025-08-17T15:20:08,8.0,1.6844281503440364,0.9000186418481051,1.7477801551250305,1167.0
LightGBM,1103.6444515425665,34.671653933241515,1399.0,0.026092223724727633,117.0,162.0,0.7502331810559776,0.6375927759363476,2.0,0.5376209082361595,0.3937832009696783,2.0,2025-08-17T14:36:01,,,,,
CatBoost,1104.0833733839504,34.41718221124123,,0.0626434942182075,,,,,,,,6.0,2025-08-17T15:20:08,4.0,2.9574105510075097,0.531857479688174,0.13323822478163394,1103.0
CatBoost,1105.371997029723,31.488211965571814,,0.021560230821288325,,,,,,,,7.0,2025-08-17T15:20:08,5.0,1.4275426542723404,0.20788625514602732,0.05306440774763943,2404.0
CatBoost,1107.6495401434563,33.87243198109605,,0.027885036731402284,,,,,,,,8.0,2025-08-17T15:20:08,6.0,4.877638083475053,0.4532888347480276,1.04878053865516,1987.0
CatBoost,1108.5341462269657,33.22495774400661,,0.062497600495175054,,,,,,,,9.0,2025-08-17T15:20:08,5.0,2.9858191625204125,0.1048691665324809,1.4748104121876382,1027.0
CatBoost,1109.071995719146,32.403019854344244,,0.030544173349118818,,,,,,,,10.0,2025-08-17T15:20:08,5.0,1.6941238672101018,0.0027108994143296705,0.23339212828336264,1910.0
LightGBM,1109.2667985155736,34.994861710424495,1172.0,0.021362437372090287,122.0,145.0,0.6225213102727349,0.6475271665072287,0.0,0.6582322815013546,0.8930539883319575,3.0,2025-08-17T14:36:01,,,,,
CatBoost,1109.5532332358707,35.96025082355534,,0.03371207600668253,,,,,,,,11.0,2025-08-17T15:20:08,4.0,3.0725229210181384,0.863518140612957,1.8459204635969697,2926.0
LightGBM,1110.025116666821,36.178085212851116,1064.0,0.021876368808943274,39.0,107.0,0.7579526072702278,0.7173952698872152,2.0,0.6523691427638674,0.8482288126171406,4.0,2025-08-17T14:36:01,,,,,
CatBoost,1114.3004091885273,33.16670645037353,,0.03491566681826537,,,,,,,,12.0,2025-08-17T15:20:08,5.0,4.654337376018221,0.9383404568210378,0.3624661323313203,2570.0
CatBoost,1115.5445633434601,31.480053675309453,,0.051130812011755095,,,,,,,,13.0,2025-08-17T15:20:08,6.0,2.8984620408363346,0.5902949425148077,0.5361272816457525,1260.0
CatBoost,1115.5517021560288,33.582987022073404,,0.07690847704404435,,,,,,,,14.0,2025-08-17T15:20:08,5.0,2.7219186602211662,0.3515401611342188,0.8255871012135045,1060.0
CatBoost,1116.5790783617883,35.04333405195907,,0.05595150941197724,,,,,,,,15.0,2025-08-17T15:20:08,4.0,2.5496846313430543,0.3973181154575979,0.8535778106734988,1951.0
CatBoost,1116.9148385327048,31.29952304198066,,0.0626807259757939,,,,,,,,16.0,2025-08-17T15:20:08,6.0,4.595229525921227,0.297121715623175,1.1328092805937944,1097.0
CatBoost,1117.1531538184342,33.8338317763559,,0.061102910861425205,,,,,,,,17.0,2025-08-17T15:20:08,5.0,2.136754915149935,0.4235968624204829,0.5758592329514522,1362.0
CatBoost,1117.4719363496908,33.50557198185601,,0.08815342766631554,,,,,,,,18.0,2025-08-17T15:20:08,5.0,5.577441487940209,0.03394597858579884,1.3948405344936798,1136.0
CatBoost,1117.5473521427762,37.99892727674832,,0.09167336987065167,,,,,,,,19.0,2025-08-17T15:20:08,4.0,5.931284979334076,0.5365906459873325,1.8480835182148663,1525.0
CatBoost,1118.1243190994967,37.414602659609756,,0.061151223713391226,,,,,,,,20.0,2025-08-17T15:20:08,4.0,3.3698497071527806,0.35510430327930476,1.297645680583152,2169.0
CatBoost,1119.3266485192116,32.69908197022054,,0.06479711795357035,,,,,,,,21.0,2025-08-17T15:20:08,6.0,2.353723365717769,0.6439995432390158,0.8174683421961928,1086.0
CatBoost,1119.6214509735341,34.60751567658038,,0.05288662648246471,,,,,,,,22.0,2025-08-17T15:20:08,4.0,3.770890012578967,0.6514203883518642,1.6594836074144033,2622.0
CatBoost,1120.0461593559894,32.29701129862123,,0.03495952174439202,,,,,,,,23.0,2025-08-17T15:20:08,7.0,5.604209413086862,0.8698963620621283,1.0376761142521442,1935.0
CatBoost,1120.9661249516212,36.250782813017125,,0.06809156730503911,,,,,,,,24.0,2025-08-17T15:20:08,4.0,3.7982016565410897,0.1552402459307125,0.36385626099054225,1924.0
LightGBM,1121.364665083449,34.86988982970025,1089.0,0.06659220607878466,90.0,197.0,0.7063751699856956,0.7441380380821073,2.0,0.5585293712157962,0.6433156396129445,5.0,2025-08-17T14:36:01,,,,,
LightGBM,1121.9559580117514,32.94576679384435,1400.0,0.03608182741407689,77.0,170.0,0.9020549022694476,0.8481238205413859,1.0,0.6440357340154895,1.0837812704119514,6.0,2025-08-17T14:36:01,,,,,
CatBoost,1122.2073990105553,28.952281388384336,,0.03883732192594325,,,,,,,,25.0,2025-08-17T15:20:08,9.0,2.886429826210363,0.0025950243836465603,1.7366022140711737,1007.0
LightGBM,1126.797735951816,33.1167632198002,1050.0,0.052967815643109054,34.0,132.0,0.9027996528688915,0.6187585871164879,2.0,0.09084607375970322,0.8058878347113595,7.0,2025-08-17T14:36:01,,,,,
LightGBM,1127.35815003244,31.76596678482387,2074.0,0.024904233951977463,35.0,111.0,0.7390476857930735,0.6127218725940661,1.0,0.09650869688048065,0.5529345216392709,8.0,2025-08-17T14:36:01,,,,,
LightGBM,1128.8138663565273,32.22857810674843,2253.0,0.030092816733799693,43.0,187.0,0.6291052025456774,0.9287440237161425,1.0,0.1172838573536204,0.6159914024308715,9.0,2025-08-17T14:36:01,,,,,
LightGBM,1129.2402405300077,31.842162614810277,1317.0,0.04665293725648763,81.0,191.0,0.6976502088991097,0.6673164168691722,0.0,0.3230689368464327,0.07787069653077787,10.0,2025-08-17T14:36:01,,,,,
CatBoost,1129.6683741248703,32.26035498448192,,0.08767581104226037,,,,,,,,26.0,2025-08-17T15:20:08,5.0,5.203549929389656,0.08920432871205619,1.070671128031047,1536.0
LightGBM,1129.916253692243,32.66301179538915,2363.0,0.048923055923121406,90.0,191.0,0.798070764044508,0.6137554084460873,1.0,0.31284848605859267,0.2186833053456748,11.0,2025-08-17T14:36:01,,,,,
CatBoost,1130.5729131920973,32.84558270399728,,0.07770043737068882,,,,,,,,27.0,2025-08-17T15:20:08,5.0,5.592273624696506,0.5870682241365672,0.0656933404868767,1762.0
CatBoost,1130.7816435577724,36.820714939115184,,0.07817340405804153,,,,,,,,28.0,2025-08-17T15:20:08,4.0,3.562288279409608,0.7416869442286655,1.3976917063218088,2304.0
CatBoost,1132.9868375657932,31.65511372833604,,0.04978717313085823,,,,,,,,29.0,2025-08-17T15:20:08,6.0,3.888159770457736,0.16551331742797382,0.06775832049318997,2184.0
CatBoost,1134.2311540903875,37.34816843631818,,0.08680659017400393,,,,,,,,30.0,2025-08-17T15:20:08,4.0,4.604065481552533,0.8053149673579051,1.9774575639108856,2311.0
CatBoost,1134.7148878626722,30.418907192573705,,0.09179432699217856,,,,,,,,31.0,2025-08-17T15:20:08,6.0,3.2984075638056556,0.07593341036962209,0.15553068815791415,1107.0
CatBoost,1134.8249831292046,33.543186218368,,0.0535974912392341,,,,,,,,32.0,2025-08-17T15:20:08,5.0,4.847464665959684,0.18704374855752337,0.6473584728084874,2810.0
CatBoost,1137.173499881494,29.84570973057987,,0.03327580843462487,,,,,,,,33.0,2025-08-17T15:20:08,8.0,5.232261458672591,0.12748866233198242,0.7945745811207345,2180.0
LightGBM,1138.047207625064,32.05145899303561,2955.0,0.02199053947134274,97.0,166.0,0.7394663949166917,0.6384706204365683,0.0,0.5527501904819728,0.4640824155606449,12.0,2025-08-17T14:36:01,,,,,
CatBoost,1138.747275311489,34.87072594139629,,0.10893447791480709,,,,,,,,34.0,2025-08-17T15:20:08,4.0,3.8723655658995595,0.8418287767582721,0.279544753252579,1872.0
LightGBM,1138.9968915934928,32.13343053466511,2039.0,0.028468249688051582,32.0,147.0,0.8545614389784044,0.9203797178729599,1.0,0.45869363333754665,0.15420042388069222,13.0,2025-08-17T14:36:01,,,,,
LightGBM,1139.3586086117025,32.50961537785596,1835.0,0.02970239915992583,86.0,142.0,0.6968639753109703,0.9212559025519583,0.0,0.5058446644748636,0.7602356529130736,14.0,2025-08-17T14:36:01,,,,,
CatBoost,1139.3890269025076,31.049288906861634,,0.05267687918232428,,,,,,,,35.0,2025-08-17T15:20:08,5.0,1.0919533827373336,0.914298806560499,0.23550216578028227,2379.0
LightGBM,1142.1787627767317,33.30267112860862,1928.0,0.06934480650466235,107.0,176.0,0.6532740500894999,0.6304801518396652,1.0,0.7598399306335393,0.870863410066032,15.0,2025-08-17T14:36:01,,,,,
CatBoost,1142.7587984593117,33.422427405817615,,0.09206202325203841,,,,,,,,36.0,2025-08-17T15:20:08,5.0,4.325183372731278,0.1753712786234496,1.8288238918499196,1921.0
CatBoost,1143.4000840988215,32.270382536665416,,0.05405310869584694,,,,,,,,37.0,2025-08-17T15:20:08,5.0,2.8154114819931753,0.6459172413316012,1.1415566093378238,2975.0
LightGBM,1144.1871339766683,32.29900548756271,1087.0,0.060045033336682624,54.0,150.0,0.608233797718321,0.9879639408647978,1.0,0.16987128854262093,0.21818996064852073,16.0,2025-08-17T14:36:01,,,,,
CatBoost,1145.074433560554,33.69058287394325,,0.08514191727360908,,,,,,,,38.0,2025-08-17T15:20:08,6.0,3.157640715682213,0.3328157859124843,1.461098273618603,1553.0
CatBoost,1145.4869796798423,31.842152628188437,,0.06192643988591996,,,,,,,,39.0,2025-08-17T15:20:08,6.0,3.3411591422068967,0.6249759870510523,0.7554518948803386,2167.0
LightGBM,1146.5178499669062,30.743560387380317,2275.0,0.030020086003840252,91.0,127.0,0.8233616998943221,0.7696888036987906,1.0,0.2642020232152788,0.5213422133859256,17.0,2025-08-17T14:36:01,,,,,
LightGBM,1146.7201096964386,30.067591130209472,1020.0,0.07405991023634516,48.0,151.0,0.9768807022739411,0.8253152871382157,1.0,0.24369101533869655,0.11720653680766063,18.0,2025-08-17T14:36:01,,,,,
CatBoost,1146.7705051239998,31.37608627797458,,0.13545185429169412,,,,,,,,40.0,2025-08-17T15:20:08,6.0,4.95006779395928,0.6905602324456406,1.0426013348271388,1011.0
