Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1346.228197577685
FDW14,OUT017,1295.4133178180753
NCN55,OUT010,577.6829563680953
FDQ58,OUT017,2400.7055677375683
FDY38,OUT027,6090.6032580006495
FDH56,OUT046,1901.6291978502147
FDL48,OUT018,488.6085065232055
FDC48,OUT027,2182.831921425947
FDN33,OUT045,1525.288674435108
FDA36,OUT017,3128.90067106411
FDT44,OUT017,1962.0959227470355
FDQ56,OUT045,1330.999746758674
NCC54,OUT019,584.8524934478601
FDU11,OUT049,2141.388972888083
DRL59,OUT013,766.1414777953562
FDM24,OUT049,2430.644820834837
FDI57,OUT045,3784.2168418884085
DRC12,OUT018,2989.439564705628
NCM42,OUT027,2525.0070808185214
FDA46,OUT010,708.5099040420296
FDA31,OUT013,2807.7016289991443
NCJ31,OUT035,3602.8876383042525
FDG52,OUT046,728.9754198215819
NCL19,OUT019,394.38267879152204
FDS10,OUT035,3016.8273174909327
FDX22,OUT010,667.7076822141514
NCF19,OUT035,871.4047731151957
NCE06,OUT046,2436.651339642982
DRC27,OUT046,3642.295990964136
FDE21,OUT035,2130.0112675056325
NCR42,OUT019,8.704566061222067
FDX51,OUT018,2763.4865198878515
NCR06,OUT018,514.5467501282917
FDU31,OUT027,6124.031700307294
FDU59,OUT017,2369.530989968529
FDR03,OUT027,5265.2281375747725
FDS49,OUT027,2382.945493444884
FDD48,OUT010,366.1316853453143
NCF18,OUT017,3078.077575081028
NCD43,OUT027,2653.362546210881
NCD54,OUT018,1876.9285476871507
FDY19,OUT010,162.54401507947114
NCY54,OUT017,2723.265026207337
NCL19,OUT018,2053.126987767648
FDP23,OUT010,490.9615261545157
FDC26,OUT013,1823.4786678955954
FDR14,OUT010,13.440715024395104
NCS41,OUT035,3119.7823387719536
FDF41,OUT035,4032.120871223984
FDU34,OUT046,1930.5138528029859
DRH11,OUT046,1096.587201285401
FDM03,OUT013,1768.8006802413524
FDS31,OUT017,3182.765541024485
FDJ20,OUT017,2090.2667513248016
FDV44,OUT027,5190.011834795423
FDG02,OUT049,3048.8558792373583
FDA09,OUT013,3523.251371214954
FDT04,OUT013,565.4965307226498
FDL58,OUT019,527.4802701660897
FDE52,OUT045,1378.2143202442826
FDW12,OUT035,2534.2711130344296
FDL51,OUT017,3420.1924519328195
NCY42,OUT027,3259.498328872511
FDR07,OUT017,1284.7983161813859
FDN40,OUT045,2219.4860235049173
FDB35,OUT027,2533.600829974446
FDA22,OUT017,2795.9951462533086
NCL06,OUT046,3782.1053961095427
FDI35,OUT013,3320.4688013780114
NCW42,OUT045,3445.3746240190085
NCX06,OUT049,3197.528131696034
FDC37,OUT027,2746.816325236914
FDZ14,OUT018,1681.8574638651355
DRG49,OUT049,4429.801430394584
NCG06,OUT045,3198.8669026062566
DRC36,OUT045,2837.6163464173724
FDV21,OUT019,255.8006652621168
FDB53,OUT046,2471.424494650738
DRP47,OUT019,906.8770876997178
FDA14,OUT013,2247.9485615463655
DRC24,OUT035,2725.9356510778885
FDW21,OUT018,1458.1599498315572
NCH29,OUT046,1926.8981045376672
FDU58,OUT013,2979.2897862817144
FDY27,OUT017,2680.2920644530245
FDV56,OUT035,1901.0053371867675
FDT59,OUT046,4098.417312426092
