Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1288.8119171315716
FDW14,OUT017,1303.9211426821034
NCN55,OUT010,523.2994920870417
FDQ58,OUT017,2449.099050154326
FDY38,OUT027,6086.510285132355
FDH56,OUT046,1886.759141876797
FDL48,OUT018,522.4416890947366
FDC48,OUT027,2184.2033523477426
FDN33,OUT045,1536.18670934852
FDA36,OUT017,3119.7105005815556
FDT44,OUT017,1974.2831555792466
FDQ56,OUT045,1325.2948838295374
NCC54,OUT019,509.6525448724526
FDU11,OUT049,2128.3704563302326
DRL59,OUT013,743.6595720150442
FDM24,OUT049,2447.7893320498765
FDI57,OUT045,3798.8053860315913
DRC12,OUT018,3006.4825297487564
NCM42,OUT027,2567.3756656760734
FDA46,OUT010,696.2788790149355
FDA31,OUT013,2784.860461089361
NCJ31,OUT035,3646.702125628467
FDG52,OUT046,743.4601430477278
NCL19,OUT019,377.7309206558998
FDS10,OUT035,3068.6171987408543
FDX22,OUT010,645.5538508336156
NCF19,OUT035,886.7477988507828
NCE06,OUT046,2415.153952598587
DRC27,OUT046,3642.394605969942
FDE21,OUT035,2111.500483517569
NCR42,OUT019,0.0
FDX51,OUT018,2726.1140447361545
NCR06,OUT018,606.5487116536453
FDU31,OUT027,5975.68849300709
FDU59,OUT017,2344.658049909468
FDR03,OUT027,5399.7141812475
FDS49,OUT027,2366.4703963267016
FDD48,OUT010,333.9870402627105
NCF18,OUT017,3145.4679165072175
NCD43,OUT027,2676.3919934135674
NCD54,OUT018,1920.8649057714272
FDY19,OUT010,169.09525502949577
NCY54,OUT017,2816.8473264680583
NCL19,OUT018,2072.3248408843774
FDP23,OUT010,409.5289966304065
FDC26,OUT013,1852.441249657343
FDR14,OUT010,9.529613694976433
NCS41,OUT035,3306.9155049862175
FDF41,OUT035,4117.858185746669
FDU34,OUT046,1894.4144304155213
DRH11,OUT046,1064.2264522341025
FDM03,OUT013,1826.9942262073832
FDS31,OUT017,3177.191846176023
FDJ20,OUT017,1996.723782217441
FDV44,OUT027,5190.654106869917
FDG02,OUT049,3034.991576356619
FDA09,OUT013,3525.16339065402
FDT04,OUT013,642.9701396556018
FDL58,OUT019,600.3545466092389
FDE52,OUT045,1342.1446883626606
FDW12,OUT035,2582.944903721166
FDL51,OUT017,3507.7868371556574
NCY42,OUT027,3325.2144379815063
FDR07,OUT017,1275.244185782964
FDN40,OUT045,2359.090945026373
FDB35,OUT027,2500.5475588684926
FDA22,OUT017,2867.8912850277698
NCL06,OUT046,3739.1417691927145
FDI35,OUT013,3355.0112890989053
NCW42,OUT045,3496.8895438693335
NCX06,OUT049,3201.3395563262375
FDC37,OUT027,2818.5241542423964
FDZ14,OUT018,1688.5192709973808
DRG49,OUT049,4431.860259645039
NCG06,OUT045,3175.090289135642
DRC36,OUT045,2797.8990978092115
FDV21,OUT019,271.5808942263327
FDB53,OUT046,2529.042268955106
DRP47,OUT019,814.9649885346048
FDA14,OUT013,2248.3715141810476
DRC24,OUT035,2723.376692105994
FDW21,OUT018,1470.5001043719585
NCH29,OUT046,1996.8494008509467
FDU58,OUT013,2980.57717058436
FDY27,OUT017,2734.5379475550058
FDV56,OUT035,1910.3804910752365
FDT59,OUT046,4139.286893579356
FDB23,OUT046,3114.9226661786774
FDR49,OUT045,810.0569634960646
FDB03,OUT010,389.72465999175324
FDN39,OUT045,2887.182363734196
FDX02,OUT027,5885.245278319364
FDQ16,OUT027,2876.7508848790885
FDU35,OUT018,1520.6844152959575
